Sample Name,Source Well,Source Plate Barcode,Starting Concentration,Concentration Range
CBP-0064597-03,J5,B004,0,A
CBP-0064599-03,G18,B004,0,A
CBP-0064600-03,H12,B004,0,A
CBP-0064601-03,P3,B004,0,A
CBP-0064602-03,E1,B004,0,A
CBP-0064603-03,C16,B004,0,A
CBP-0064604-03,E18,B004,0,A
CBP-0064605-03,N15,B004,0,A
CBP-0064606-03,M1,B004,0,A
CBP-0064607-03,I20,B004,0,A
CBP-0064609-03,G6,B004,0,A
CBP-0064610-03,O21,B004,0,A
CBP-0064611-03,G5,B004,0,A
CBP-0064612-03,O5,B004,0,A
CBP-0064613-03,B11,B004,0,A
CBP-0064615-03,D18,B004,0,A
CBP-0064618-03,L3,B004,0,A
CBP-0064620-03,H1,B004,0,A
CBP-0064621-03,E2,B004,0,A
CBP-0064622-03,B6,B004,0,A
CBP-0064623-03,F10,B004,0,A
CBP-0064624-03,A15,B004,0,A
CBP-0064625-04,M2,B004,0,A
CBP-0064626-03,G10,B004,0,A
CBP-0064627-03,F13,B004,0,A
CBP-0064628-03,L5,B004,0,A
CBP-0064629-03,O19,B004,0,A
CBP-0064630-03,D22,B004,0,A
CBP-0064631-03,B21,B004,0,A
CBP-0064633-03,K13,B004,0,A
CBP-0064634-03,H15,B004,0,A
CBP-0064635-03,E9,B004,0,A
CBP-0064636-03,C14,B004,0,A
CBP-0064637-03,K14,B004,0,A
CBP-0064638-03,M13,B004,0,A
CBP-0064639-04,M14,B004,0,A
CBP-0064640-03,I3,B004,0,A
CBP-0064641-05,B5,B004,0,A
CBP-0064643-03,F20,B004,0,A
CBP-0064644-05,I11,B004,0,A
CBP-0064645-03,N1,B004,0,A
CBP-0064648-04,F18,B004,0,A
CBP-0064649-03,I8,B004,0,A
CBP-0064650-04,B2,B004,0,A
CBP-0064651-03,K12,B004,0,A
CBP-0064653-03,K16,B004,0,A
CBP-0064654-03,P13,B004,0,A
CBP-0064655-03,F5,B004,0,A
CBP-0064656-03,M4,B004,0,A
CBP-0064657-03,F4,B004,0,A
CBP-0064658-03,K6,B004,0,A
CBP-0064660-04,M3,B004,0,A
CBP-0064661-03,O22,B004,0,A
CBP-0064662-03,P4,B004,0,A
CBP-0064663-03,J22,B004,0,A
CBP-0064663-02,A14,B004,0,A
CBP-0064665-03,P12,B004,0,A
CBP-0064666-03,G14,B004,0,A
CBP-0064667-03,I16,B004,0,A
CBP-0064668-03,E21,B004,0,A
CBP-0064669-03,A18,B004,0,A
CBP-0064670-03,E5,B004,0,A
CBP-0064671-03,I19,B004,0,A
CBP-0064673-03,L17,B004,0,A
CBP-0064674-04,E6,B004,0,A
CBP-0064676-03,O10,B004,0,A
CBP-0064679-03,N19,B004,0,A
CBP-0064680-04,C17,B004,0,A
CBP-0064681-03,N20,B004,0,A
CBP-0064683-03,H3,B004,0,A
CBP-0064685-03,G1,B004,0,A
CBP-0064686-03,F11,B004,0,A
CBP-0064689-04,O2,B004,0,A
CBP-0064690-02,H5,B004,0,A
CBP-0064691-03,L1,B004,0,A
CBP-0064692-03,E22,B004,0,A
CBP-0064693-03,A21,B004,0,A
CBP-0064694-03,N10,B004,0,A
CBP-0064695-03,C11,B004,0,A
CBP-0064696-04,M7,B004,0,A
CBP-0064697-03,J10,B004,0,A
CBP-0064698-03,B19,B004,0,A
CBP-0064699-03,A17,B004,0,A
CBP-0064700-03,B4,B004,0,A
CBP-0064701-03,G2,B004,0,A
CBP-0064775-03,K5,B004,0,A
CBP-0064775-04,F15,B004,0,A
CBP-0064777-03,E7,B004,0,A
